name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,created,edited,url,desc
Sand Crawler,Digger Crawler,Corellia Mining Corporation,150000,36.8,30,46,30,50000,2 months,wheeled,2014-12-10T15:36:25.724000Z,2014-12-22T18:21:15.523587Z,http://swapi.co/api/vehicles/4/,
T-16 skyhopper,T-16 skyhopper,Incom Corporation,14500,10.4,1200,1,1,50,0,repulsorcraft,2014-12-10T16:01:52.434000Z,2014-12-22T18:21:15.552614Z,http://swapi.co/api/vehicles/6/,
X-34 landspeeder,X-34 landspeeder,SoroSuub Corporation,10550,3.4,250,1,1,5,,repulsorcraft,2014-12-10T16:13:52.586000Z,2014-12-22T18:21:15.583700Z,http://swapi.co/api/vehicles/7/,
TIE/LN starfighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,,6.4,1200,1,0,65,2 days,starfighter,2014-12-10T16:33:52.860000Z,2014-12-22T18:21:15.606149Z,http://swapi.co/api/vehicles/8/,
Snowspeeder,t-47 airspeeder,Incom corporation,,4.5,650,2,0,10,none,airspeeder,2014-12-15T12:22:12Z,2014-12-22T18:21:15.623033Z,http://swapi.co/api/vehicles/14/,
TIE bomber,TIE/sa bomber,Sienar Fleet Systems,,7.8,850,1,0,none,2 days,space/planetary bomber,2014-12-15T12:33:15.838000Z,2014-12-22T18:21:15.667730Z,http://swapi.co/api/vehicles/16/,"TIE fighters are fictional starfighters in the Star Wars universe. Propelled by twin ion engines (hence the TIE acronym), TIE fighters are fast, agile, yet fragile starfighters produced by Sienar Fleet Systems for the Galactic Empire. TIE fighters and other TIE craft appear in Star Wars films, television shows, and throughout the Star Wars expanded universe. Several TIE fighter replicas and toys, as well as a TIE flight simulator, have been produced and sold by merchandise companies."
AT-AT,All Terrain Armored Transport,"Kuat Drive Yards, Imperial Department of Military Research",,20,60,5,40,1000,,assault walker,2014-12-15T12:38:25.937000Z,2014-12-22T18:21:15.714673Z,http://swapi.co/api/vehicles/18/,"Walkers are vehicles from the Star Wars universe that traverse the landscape on mechanical legs. They are used by the Old Republic and the Galactic Empire for ground assault or transport. Throughout the saga, walkers have played a pivotal role in the fate of characters and the outcome of battles. Industrial Light and Magic (ILM) is responsible for their animation and design, often using models, stop-motion animation, and relevant matte paintings to depict their presence in the films.

There are a variety of walkers: The Empire Strikes Back introduces the All Terrain Armored Transport (AT-AT) and All Terrain Scout Transport (AT-ST). Star Wars: Episode II – Attack of the Clones and Star Wars: Episode III – Revenge of the Sith introduced earlier models of walkers, such as the AT-TE, and the Star Wars expanded universe features numerous others. Walker variants have been merchandised and featured in popular culture."
AT-ST,All Terrain Scout Transport,"Kuat Drive Yards, Imperial Department of Military Research",,2,90,2,0,200,none,walker,2014-12-15T12:46:42.384000Z,2014-12-22T18:21:15.761584Z,http://swapi.co/api/vehicles/19/,"Walkers are vehicles from the Star Wars universe that traverse the landscape on mechanical legs. They are used by the Old Republic and the Galactic Empire for ground assault or transport. Throughout the saga, walkers have played a pivotal role in the fate of characters and the outcome of battles. Industrial Light and Magic (ILM) is responsible for their animation and design, often using models, stop-motion animation, and relevant matte paintings to depict their presence in the films.

There are a variety of walkers: The Empire Strikes Back introduces the All Terrain Armored Transport (AT-AT) and All Terrain Scout Transport (AT-ST). Star Wars: Episode II – Attack of the Clones and Star Wars: Episode III – Revenge of the Sith introduced earlier models of walkers, such as the AT-TE, and the Star Wars expanded universe features numerous others. Walker variants have been merchandised and featured in popular culture."
Storm IV Twin-Pod cloud car,Storm IV Twin-Pod,Bespin Motors,75000,7,1500,2,0,10,1 day,repulsorcraft,2014-12-15T12:58:50.530000Z,2014-12-22T18:21:15.783232Z,http://swapi.co/api/vehicles/20/,
Sail barge,Modified Luxury Sail Barge,Ubrikkian Industries Custom Vehicle Division,285000,30,100,26,500,2000000,Live food tanks,sail barge,2014-12-18T10:44:14.217000Z,2014-12-22T18:21:15.807906Z,http://swapi.co/api/vehicles/24/,
Bantha-II cargo skiff,Bantha-II,Ubrikkian Industries,8000,9.5,250,5,16,135000,1 day,repulsorcraft cargo skiff,2014-12-18T10:48:03.208000Z,2014-12-22T18:21:15.845988Z,http://swapi.co/api/vehicles/25/,
TIE/IN interceptor,Twin Ion Engine Interceptor,Sienar Fleet Systems,,9.6,1250,1,0,75,2 days,starfighter,2014-12-18T10:50:28.225000Z,2014-12-22T18:21:15.882388Z,http://swapi.co/api/vehicles/26/,
Imperial Speeder Bike,74-Z speeder bike,Aratech Repulsor Company,8000,3,360,1,1,4,1 day,speeder,2014-12-18T11:20:04.625000Z,2014-12-22T18:21:15.920537Z,http://swapi.co/api/vehicles/30/,
Vulture Droid,Vulture-class droid starfighter,"Haor Chall Engineering, Baktoid Armor Workshop",,3.5,1200,0,0,0,none,starfighter,2014-12-19T17:09:53.584000Z,2014-12-22T18:21:15.953870Z,http://swapi.co/api/vehicles/33/,
Multi-Troop Transport,Multi-Troop Transport,Baktoid Armor Workshop,138000,31,35,4,112,12000,,repulsorcraft,2014-12-19T17:12:04.400000Z,2014-12-22T18:21:15.975171Z,http://swapi.co/api/vehicles/34/,
Armored Assault Tank,Armoured Assault Tank,Baktoid Armor Workshop,,9.75,55,4,6,,,repulsorcraft,2014-12-19T17:13:29.799000Z,2014-12-22T18:21:15.984817Z,http://swapi.co/api/vehicles/35/,
Single Trooper Aerial Platform,Single Trooper Aerial Platform,Baktoid Armor Workshop,2500,2,400,1,0,none,none,repulsorcraft,2014-12-19T17:15:09.511000Z,2014-12-22T18:21:16.008594Z,http://swapi.co/api/vehicles/36/,"Speeder bikes (also known as ""jumpspeeders"" or ""hover bikes"") and swoop bikes (or just ""swoops"") are small, fast transports that use repulsorlift engines in the fictional Star Wars universe. Return of the Jedi includes a prominent speeder bike chase; speeders and swoops also appear in Star Wars: Episode I – The Phantom Menace, Star Wars: Episode II – Attack of the Clones, Star Wars: Episode III – Revenge of the Sith, Star Wars, and the Star Wars expanded universe's books, comics, and games."
C-9979 landing craft,C-9979 landing craft,Haor Chall Engineering,200000,210,587,140,284,1800000,1 day,landing craft,2014-12-19T17:20:36.373000Z,2014-12-22T18:21:16.033738Z,http://swapi.co/api/vehicles/37/,
Tribubble bongo,Tribubble bongo,Otoh Gunga Bongameken Cooperative,,15,85,1,2,1600,,submarine,2014-12-19T17:37:37.924000Z,2014-12-22T18:21:16.072083Z,http://swapi.co/api/vehicles/38/,
